tweet_id;followers;date;message_detail;retweet_count;username;label
1.488256907026604e+18;2014.0;2022-02-01 00:04:31;RT @medyaadami: Erdoğan imzalı belge dedi sahte çıktı  Küfürbaz Lütfü’yle açılış yaptı   Troller deyip masum insanları hedef aldı   Fakirlik edebiyatı yaptığı odanın gecelik fiyatı 102.300 TL çıktı  Senden daha büyük troll mü var be @kilicdarogluk ?  #TrollAmca https://t.co/KfvLwDUbm8;0.0;CkeserMurat;0.0
1.4882569098284032e+18;0.0;2022-02-01 00:04:32;@Erdal_Analiz #borsacıselim MRGYO suan yutupta borsacı selım bu hısse analız edıyor hıssesını merak eden ızleyebılır yayına katılıp hıssesını sorabılır nokta atıslarla super bılgılı bır hoca arkadaslar ızleyıp kendınız karar verın;0.0;SskrBar;1.0
1.4882569285937193e+18;52.0;2022-02-01 00:04:36;RT @BorsaNotlar: #katmr henüz dipte sürünüyor hacim eksiği var erken takip edilebilir sadece. #sekur düşeni kırmış onaya gelebilir. #papil trend kırılım biraz daha hacim lazım. #tgsas trend kırılım onayı biraz uzatmış. Hisselerin teknik grafiği stop seviyesi belirtir. Hiçbiri elimde yok. https://t.co/n4HtUs3Gns;0.0;Silifke3348;2.0
1.4882569390374994e+18;16.0;2022-02-01 00:04:39;@karahanager #fade mesela..sürünüyor adeta;0.0;borsaderya;2.0
1.4882569469059645e+18;122.0;2022-02-01 00:04:41;RT @SanayiCocuklar: Samsun Canik'te VAHŞET! Belediyelerin şehirden toplayıp ormana attığı hayvanlar CANİLERİN kurşunlarına HEDEF TAHTASI olup vücudu delil deşik edilmiş şekilde CAN VERİYOR. @TCSamsunValilik Sn.Vali @zulkifdagli Gereğini talep ediyoruz. @RTErdogan @suleymansoylu @CK_Samsun @mahmutlu https://t.co/mnLgKganmb;0.0;Esma25772521;0.0
1.4882569530674504e+18;1096.0;2022-02-01 00:04:42;RT @medyaadami: Erdoğan imzalı belge dedi sahte çıktı  Küfürbaz Lütfü’yle açılış yaptı   Troller deyip masum insanları hedef aldı   Fakirlik edebiyatı yaptığı odanın gecelik fiyatı 102.300 TL çıktı  Senden daha büyük troll mü var be @kilicdarogluk ?  #TrollAmca https://t.co/KfvLwDUbm8;0.0;AhsenSerapp;0.0
1.488256951201022e+18;2.0;2022-02-01 00:04:42;RT @trademaker007: Şimdi akla karanın ortaya çıktığı bir haftaya başlıyoruz. Bakalım tarih tekerrür edecekmi göreceğiz ?  Piyasadaki algıcılar #PRKAB 🧿 izleyin! 😉 Biz öyle 20-30 hisse yazıp 2 tane gidince roketleyip hava atmayız Mutlu pazarlar 🤗 https://t.co/6Da5SWNDmD;0.0;black_eagle1811;1.0
1.4882569734097715e+18;2355.0;2022-02-01 00:04:47;#SırKapısı SIRLARIN KAPISINI AÇTIM……………#ardyz #enflasyon #TUEİK #afgan #DolarTL #NATO #Russia #Ukraine #Putin #MEB #MEBSınıfOEgrt10Bin #meb #OEğretmenlerReddediyor #oeğretmenataması #OEğretmenlikMeslekKanunu #COVID19 #SılaTuerkoğlu #dolar #Konya    #OEğretmenlerReddediyor https://t.co/MtmLXL6UiS;0.0;mktalasli1;0.0
1.48825697627034e+18;896.0;2022-02-01 00:04:48;RT @medyaadami: Erdoğan imzalı belge dedi sahte çıktı  Küfürbaz Lütfü’yle açılış yaptı   Troller deyip masum insanları hedef aldı   Fakirlik edebiyatı yaptığı odanın gecelik fiyatı 102.300 TL çıktı  Senden daha büyük troll mü var be @kilicdarogluk ?  #TrollAmca https://t.co/KfvLwDUbm8;0.0;sinemshn1;0.0
1.4882604392260772e+18;897.0;2022-02-01 00:18:33;RT @_Ebru_yildirim_: By kemal trol ağı için yeni elaman arayışına girmiş. Onlara ekoyu hedef göstermiş.  Abovvvvv  #MuhalefetDibeVurdu    vaziyet alın ortalık karışacak:))) https://t.co/fC2ZKniXDE;0.0;omurr4545;0.0
1.4882604501983805e+18;40.0;2022-02-01 00:18:36;RT @Agresif_23: #TOASO   ONAY GÖRÜNTÜSÜ VAR İSE YARIN GÜNLERDEN HACI MURAT :)) OLUR MU? https://t.co/tP4QNMiWnn;0.0;siyahtonlar12;1.0
1.488260455365845e+18;8239.0;2022-02-01 00:18:37;RT @uziTURGttinta: ÇILGINLAR❤️❤️❤️❤️❤️ @Mustafa57948117 @prof_cok_bilmis @korgani2 @mesut_ilgaz @Mustafakyuz02 @Ergulyuksel5 @__Zulal_ @025Delifisek @yakupakgul2 @esmkc34 @Fatmana70219582 @efsa_bera @33Aycana @alp_demir23 @Mustafa93501777 @1aslano @Kadir99387513 @Fatima95224181 @eelifseven @makyz02 https://t.co/ahVT9Xshkm;0.0;Azizeli45259866;0.0
1.488260457777541e+18;0.0;2022-02-01 00:18:38;@BorsadaBirSabah #borsacıselim EGEPO suan yutupta borsacı selım bu hısse analız edıyor hıssesını merak eden ızleyebılır yayına katılıp hıssesını sorabılır nokta atıslarla super bılgılı bır hoca arkadaslar ızleyıp kendınız karar verın;0.0;SskrBar;1.0
1.4882605113472328e+18;3072.0;2022-02-01 00:18:51;RT @tsumut71: Lozan'a göre Fener Rum Patrikhanesi Fatih Kaymakamlığı'na bağlı bir Türk kurumudur. Ekümenik değildir. Türk Papa kitabımda detaylarıyla yazdım. https://t.co/x19374LJZr;0.0;kranErd80934849;0.0
1.4882604683681997e+18;66.0;2022-02-01 00:18:40;Kılıçdaroğlu nun deşifre ettiği trollere ne olacak?hedef gösterdikleri cımbızla çekip alıp hapse gönderdikleri insanların hesabı sorulacak mı?@kilicdarogluk yaptıkları yanlarına mı kalacak. Deşifre ettiniz sonraki adım nedir?;0.0;kerberosxxxx;0.0
1.4882605526527304e+18;0.0;2022-02-01 00:19:00;@TrkanYl48143209 #borsacıselim EGEPO suan yutupta borsacı selım bu hısse analız edıyor hıssesını merak eden ızleyebılır yayına katılıp hıssesını sorabılır nokta atıslarla super bılgılı bır hoca arkadaslar ızleyıp kendınız karar verın;0.0;SskrBar;1.0
