comment_id,content,date,link,username,label
5dbb0c639bfb9a2485ee8b9d6f41f96d,500 üstünde mesaj okudu 205 Mesaj daha var bu kadar çok sevildiğimizi bilmiyorduk 😊,2022-02-01 00:08:35,http://t.me/borsayicozenadam/697,borsayicozenadam,
443883ccb119f62fd78409af07bcec3e,Küçük Yatırımcı için değil atılan mesaj koplaya yapıştır yapıldığı İÇİN küçük yatırımcı kardeşime özel grubum olacaktır.. 😊,2022-02-01 01:32:53,http://t.me/borsayicozenadam/698,borsayicozenadam,
2729e9ca50810f3198b573c604f4317e,"ÖNEMLİ Arkadaşlar sizlere grup trade ile ilgili bilgi vereyim; Grup ile trade de önemli kavram grup lideri ve takipçinin uyumudur. Birbirini tanıması ve güvenmesidir. Genel yargının aksine grubun, lidere güvenmesi kadar grup liderlerininde grubuna, takipçisine güvenmesi gerekir. Neden mi? Grubunu tanımayan bir ekip lideri tahtayı doğru seçemez. Grubunun alımını ve işlem tarzını bilmeyen bir lider, tahtada ne kadar mal alması gerektiğini, ne kadar tahtayı savunması gerektiğini, hangi alış ve satışların ekip ile senkronize yapıldığını bilmeden bir yönetim gösteremez. Başarılı bir trade için tahtanın pis mali dediğimiz tek kademe dönen ve tahtayı devamlı tıkayan malın çekilmiş ve tahtanın yukarı hareketinin önü açılmış olmalıdır. Bununla beraber ekip dahil olduğunda teknik olarak bir direnç kırılma noktası yakalanmalı ve piyasa hareketi ile fiyat sıçrayışı gerçekleşmelidir. Aksi halde mal hem liderde hem ekipte kalır. Bu denge doğru harmanlanmalı ne ekip malı lidere vermeli, ne de lider ekibini mala boğarak tahtayı tıkamalıdır. (Elbette lider elini rahatlatarak yukarıdan alımlar için güç kazanmalı ve her kademeden alış ve satış yapmalıdır) Bu işin doğrusu ne hayalperest takipçi olarak, liderin hiç mal satmamasını hatta en tepeden ekibin malını alıp, aşağı zararına mal satmasını beklemektir, ne de ekibin ve tahtanın taşıyabileceğimden fazla aç gözlü alım satım hırsı ile liderin çok çok mal almasıdır. İşin doğrusu ; dengeli , birbirini tanıyan ve uyumlu hareket eden bir birliktelik ile; hem direnç kırmak , hem tahtayı desteklemek ve teknik olarak doğru seçilmiş bir hisse de haftalık hareketleri günlük-saatlik hareket haline çekebilmektir. Amaç birlikte kazanmaktır. %100 başarı ile tahtadan çıkmak kolay değildir. %80-90 larda bir kazanım varsa iş sürdürülebilir ve başarılıdır. Teknik doğru bir hisse de mücadele verilmiş ve bahsettiğimiz denge hassasiyetinde davranılmış ise teknik analiz geride kalanları da kısa bir vadede kârlı olarak ödüllendirecektir. İyi bir grup ile kötü bir grup ve yönetimi arasındaki fark budur. Ne daha çok parası var diye bir lider ekibine daha çok kazandırır ne de daha çok takipçi var diye iş başarı garantili olur. Denge ve birbirine olan güven ve inanç sistemin temelidir.",2022-02-01 03:32:34,http://t.me/borsa_king/1200,borsa_king,
da341cc21fe331d0980f90078756241b,GÜNAYDIN BORSANIN İNSANLARI… BOL KAZANÇLAR…,2022-02-01 07:35:50,http://t.me/borsarobinhoodtrade/6875,borsarobinhoodtrade,
ee319afebaff96e11401fda766cdb1b4,Günaydın Dostlar ... Hayırlı İşler Bol kazançlar,2022-02-01 09:42:00,http://t.me/derinkonsey/3587,derinkonsey,
100482168566906e25ce88aeb88419a6,Günaydın dostlar... Vıop +açtı Endeks yatay ve ufak + açar Bu hafta banka bilançoları gelecek O yüzden endeks 2000 puan üzeri 2/3 gün kapanış yapması şart.. Biz devam ediyoruz.. Bu ay dardanel 5 TL üstüne atacak Toplaa Bu ay bizim kopacakkkkk Toplaa Bu ay Dggyo yukarı devam edecek Bu ay ıcbct gidecek Devam ediyoruz..,2022-02-01 09:44:27,http://t.me/borsatatlicisi/23734,borsatatlicisi,
27547b42208015d98fa9dcfefdff0ef5,Arkadaşlar Sıralama.. #DARDL #BIZIM #ICBCT #DGGYO Tam yol ileri.,2022-02-01 09:45:13,http://t.me/borsatatlicisi/23735,borsatatlicisi,
a50e3445f5c4c73cbc9250c712b1af38,Bu gün.. #DARDL topluyoruz.... Toplaaa 👈 💴,2022-02-01 09:45:44,http://t.me/borsatatlicisi/23736,borsatatlicisi,
349c9d0e4fcff1f17be084de864e0a73,#BIZIM Bu gün tavana sürelim mi ?,2022-02-01 09:46:01,http://t.me/borsatatlicisi/23737,borsatatlicisi,
325e6127d4a37af1b4ff9680393505d7,"Günaydın yurt dışı piyasaların akşam ciddi toparlaması etkisiyle güne pozitif başlayacağız. Bilançolar gelmeye devam ediyor. GYO lar tarafında yeniden değerleme etkisi ile bilançolarda ciddi toparlama var , bu konudan geçen haftalarda söz etmiştim. Bankalar da gelecek. Burada dikkat edilmesi gereken, bilançoyu önceden fiyatlayan şirketlerde kar satışları olabilir, bu sebeple, sadece gelen bilanço değil mutlaka hisse grafiklerine de bakmanız gerektiği.",2022-02-01 09:46:38,http://t.me/husrevcantekin/3999,husrevcantekin,
